title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes
One More Time,SHOW,2016,31,['scifi'; 'drama'; 'fantasy'],1,6.9,564
My Runway,SHOW,2016,25,['comedy'; 'drama'; 'fantasy'; 'romance'],1,6.3,261
Riphagen the Untouchable,MOVIE,2016,132,['thriller'; 'war'; 'drama'; 'european'],0,7.1,7701
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,MOVIE,2016,108,['comedy'; 'crime'; 'european'],0,6.3,5976
Dear My Friends,SHOW,2016,70,['drama'; 'comedy'],1,8.2,355
Toon,SHOW,2016,27,['comedy'],2,7.6,890
White Nights,SHOW,2016,62,['drama'],1,6.9,287
Udta Punjab,MOVIE,2016,148,['crime'; 'action'; 'drama'],0,7.8,29819
The Paper,SHOW,2016,48,['drama'; 'crime'; 'action'],3,7.4,64
Toro,MOVIE,2016,105,['thriller'; 'action'; 'crime'; 'drama'; 'european'],0,5.9,3209
Jeff Dunham: Unhinged in Hollywood,MOVIE,2015,60,['comedy'],0,6.7,713
Tom Segura: Mostly Stories,MOVIE,2016,73,['comedy'; 'documentation'],0,7.5,3508
Hunterrr,MOVIE,2015,141,['romance'; 'drama'; 'comedy'],0,7,6199
H20: Mermaid Adventures,SHOW,2015,24,['comedy'; 'drama'; 'family'; 'fantasy'; 'romance'; 'animation'; 'european'],2,5.7,182
Colin Quinn: Unconstitutional,MOVIE,2015,55,['comedy'],0,7,465
Keith Richards: Under the Influence,MOVIE,2015,82,['music'; 'documentation'],0,7.1,3357
Terrace House: Aloha State,SHOW,2016,36,['reality'; 'drama'],4,7.5,979
Stories by Rabindranath Tagore,SHOW,2015,43,['drama'],1,8.8,1295
The Haunted House,SHOW,2016,25,['thriller'; 'fantasy'; 'horror'; 'animation'; 'comedy'; 'drama'; 'family'],7,8.4,71
Ralphie May: Unruly,MOVIE,2015,83,['comedy'],0,0,0
Cheer Squad,SHOW,2016,42,['reality'],1,7.2,166
Mohenjo Daro,MOVIE,2016,155,['romance'; 'drama'; 'history'; 'action'],0,5.6,11595
4K Fireplace,MOVIE,2015,181,['family'; 'reality'],0,7.7,48
Zip & Zap and the Captain's Island,MOVIE,2016,105,['comedy'; 'scifi'; 'family'; 'fantasy'; 'european'],0,5.8,605
72 Dangerous Places to Live,SHOW,2016,49,['documentation'],1,6.2,344
Paquita Salas,SHOW,2016,26,['comedy'; 'european'],3,8,3087
Smoke & Mirrors,MOVIE,2016,123,['thriller'; 'european'],0,6.9,7900
Nightmare Teacher,SHOW,2016,16,['drama'; 'horror'; 'thriller'],1,7.1,423
Три кота,SHOW,2015,5,['scifi'; 'comedy'; 'family'; 'animation'],3,6.8,95
I Called Him Morgan,MOVIE,2016,91,['music'; 'documentation'; 'history'; 'drama'; 'european'],0,7.3,1785
The Next Skin,MOVIE,2016,100,['thriller'; 'drama'; 'european'],0,6.2,1820
Old Money,SHOW,2015,47,['comedy'; 'drama'; 'european'],1,7.3,493
Belgica,MOVIE,2016,127,['drama'; 'european'],0,6.7,4478
Taxi Driver,MOVIE,2015,100,['crime'; 'drama'; 'comedy'],0,6,68
XOXO,MOVIE,2016,92,['music'; 'drama'],0,5.3,6981
The White Helmets,MOVIE,2016,40,['war'; 'documentation'],0,0,0
Rainbow Ruby,SHOW,2016,11,['animation'; 'comedy'; 'family'; 'fantasy'],4,6.5,77
Ali Wong: Baby Cobra,MOVIE,2016,60,['comedy'],0,7.5,6925
Fearless,SHOW,2016,43,['documentation'; 'reality'],2,7.1,299
The Lion Woman,MOVIE,2016,126,['drama'; 'european'],0,6.6,1408
Prem Ratan Dhan Payo,MOVIE,2015,164,['action'; 'drama'; 'family'; 'romance'],0,4.4,21487
The Beginning of Life,MOVIE,2016,98,['documentation'; 'family'],0,7.6,934
